product_id,product_name,brand_id,brand_name,loves_count,rating,reviews,size,variation_type,variation_value,variation_desc,ingredients,price_usd,value_price_usd,sale_price_usd,limited_edition,new,online_only,out_of_stock,sephora_exclusive,highlights,primary_category,secondary_category,tertiary_category,child_count,child_max_price,child_min_price,ingredients_clean
P398965,Rose Lip Conditioner,7054,AERIN,20562,4.26,527.0,0.34 oz/ 10 mL,Scent,1 Rose,,"['Polybutene; Hydrogenated Polyisobutene; Dextrin Palmitate; Bis-Diglyceryl Polyacyladipate-2; Polydecene; Magnolia Officinalis Bark Extract; Limnanthes Alba (Meadowfoam) Seed Oil; Lecithin; Caprylyl Glycol; Simethicone; Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate; Hexylene Glycol; Fragrance (Parfum); Phenoxyethanol; [+/- Titanium Dioxide (Ci 77891); Iron Oxides (Ci 77491, Ci 77492, Ci 77499); Red 7 Lake (Ci 15850); Blue 1 Lake (Ci 42090); Manganese Violet (Ci 77742); Yellow 5 Lake (Ci 19140); Red 22 Lake (Ci 45380); Red 30 Lake (Ci 73360); Mica; Red 6 (Ci 15850); Yellow 6 Lake (Ci 15985); Carmine (Ci 75470); Bismuth Oxychloride (Ci 77163); Red 33 Lake (Ci 17200); Orange 5 (Ci 45370); Red 28 Lake (Ci 45410)].']",35.0,,,False,False,True,False,False,"['Hydrating', 'Good for: Dryness']",Makeup,Lip,Lip Balm & Treatment,0,,,"['Polybutene', 'Hydrogenated Polyisobutene', 'Dextrin Palmitate', 'Bis-Diglyceryl Polyacyladipate-2', 'Polydecene', 'Magnolia Officinalis Bark Extract', 'Limnanthes Alba (Meadowfoam) Seed Oil', 'Lecithin', 'Caprylyl Glycol', 'Simethicone', 'Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate', 'Hexylene Glycol', 'Fragrance (Parfum)', 'Phenoxyethanol', '- Titanium Dioxide (Ci 77891)', 'Iron Oxides (Ci 77491', 'Ci 77492', 'Ci 77499)', 'Red 7 Lake (Ci 15850)', 'Blue 1 Lake (Ci 42090)', 'Manganese Violet (Ci 77742)', 'Yellow 5 Lake (Ci 19140)', 'Red 22 Lake (Ci 45380)', 'Red 30 Lake (Ci 73360)', 'Mica', 'Red 6 (Ci 15850)', 'Yellow 6 Lake (Ci 15985)', 'Carmine (Ci 75470)', 'Bismuth Oxychloride (Ci 77163)', 'Red 33 Lake (Ci 17200)', 'Orange 5 (Ci 45370)', 'Red 28 Lake (Ci 45410).']"
P455614,Creamy Bubbling Cleanser with Vitamin C & AHAs,6312,alpyn beauty,13297,4.3832,167.0,4.0 oz/ 118 mL,Size,4.0 oz/ 118 mL,,"['Water, Glycerin, Sodium Cocoyl Isethionate, Sodium Hyaluronate, Hamamelis Virginiana (Witch Hazel) L Methyl Cocoyl Taurate, Cetearyl Alcohol, Lactobacillus/Punica Granatum (Pomegranate) Fruit Ferment Extract, Polyacrylate-33, Sodium Cocoyl Apple Amino Acids, Dehydroacetic Acid, Benzyl Alcohol, Tromethamine, Carica Papaya (Papaya) Fruit Extract, Potassium Sorbate, Eclipta Prostrata Extract, Melia Azadirachta Leaf Extract, Moringa Pterygosperma Seed Oil, Glycolic Acid, Lactic Acid, Ascorbic Acid (Vitamin C), Linoleic Acid, Simmondsia Chinensis (Jojoba) Seed Oil, Lavandula Angustifolia (Lavender) Oil, Citrus Aurantium Dulcis (Orange) Oil, Salvia Officinalis (Sage) Leaf Extract, Arnica Montana (Arnica) Flower Extract, Borago Officinalis (Borage) Flower Extract, Calendula Officinalis (Calendula) Flower Extract, Chamomilla Recutita (Matricaria) Flower Extract, Ceramide NG, Alcohol.']",36.0,,,False,False,True,False,False,"['Good for: Dullness/Uneven Texture', 'Best for Dry Skin', 'Clean + Planet Positive', 'Good for: Pores', 'AHA/Glycolic Acid', 'Cruelty-Free']",Skincare,Cleansers,Face Wash & Cleansers,0,,,"['Water', 'Glycerin', 'Sodium Cocoyl Isethionate', 'Sodium Hyaluronate', 'Hamamelis Virginiana (Witch Hazel) L Methyl Cocoyl Taurate', 'Cetearyl Alcohol', 'LactobacillusPunica Granatum (Pomegranate) Fruit Ferment Extract', 'Polyacrylate-33', 'Sodium Cocoyl Apple Amino Acids', 'Dehydroacetic Acid', 'Benzyl Alcohol', 'Tromethamine', 'Carica Papaya (Papaya) Fruit Extract', 'Potassium Sorbate', 'Eclipta Prostrata Extract', 'Melia Azadirachta Leaf Extract', 'Moringa Pterygosperma Seed Oil', 'Glycolic Acid', 'Lactic Acid', 'Ascorbic Acid (Vitamin C)', 'Linoleic Acid', 'Simmondsia Chinensis (Jojoba) Seed Oil', 'Lavandula Angustifolia (Lavender) Oil', 'Citrus Aurantium Dulcis (Orange) Oil', 'Salvia Officinalis (Sage) Leaf Extract', 'Arnica Montana (Arnica) Flower Extract', 'Borago Officinalis (Borage) Flower Extract', 'Calendula Officinalis (Calendula) Flower Extract', 'Chamomilla Recutita (Matricaria) Flower Extract', 'Ceramide NG', 'Alcohol.']"
P503741,Lip Treatment Oil,7103,Ami Colé,22871,4.7053,95.0,0.15 oz / 4.5 ml,Color,Excellence,rosy-brown,"['Triisostearoyl Polyglyceryl-3 Dimer Dilinoleate, Polybutene, Diisostearyl Malate, Octyldodecanol, Polyglyceryl-2 Triisostearate, VP/Hexadecene Copolymer, Silica Dimethyl', 'Silylate, Adansonia Digitata Seed Oil, Camellia Japonica Seed Oil, Passiflora Incarnata Seed', 'Oil, Pentaclethra Macroloba Seed Oil, Tocopherol, Hexadecene, Pentaerythrityl Tetra-Di-', 'T-Butyl Hydroxyhydrocinnamate, Flavor (Aroma). May Contain: Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, Ci 77492), Blue I Lake (CI 42090), Red 7 Lake (CI 15850), CI 45380 (Red 22 Lake), CI 45410 (Red 28 Lake).']",20.0,,,False,False,False,False,True,"['Vegan', 'High Shine Finish', 'Clean at Sephora', 'Hydrating', 'Black Owned at Sephora', 'Cruelty-Free']",Makeup,Lip,Lip Balm & Treatment,3,20.0,20.0,"['Triisostearoyl Polyglyceryl-3 Dimer Dilinoleate', 'Polybutene', 'Diisostearyl Malate', 'Octyldodecanol', 'Polyglyceryl-2 Triisostearate', 'VPHexadecene Copolymer', 'Silica Dimethyl', 'Silylate', 'Adansonia Digitata Seed Oil', 'Camellia Japonica Seed Oil', 'Passiflora Incarnata Seed', 'Oil', 'Pentaclethra Macroloba Seed Oil', 'Tocopherol', 'Hexadecene', 'Pentaerythrityl Tetra-Di-', 'T-Butyl Hydroxyhydrocinnamate', 'Flavor (Aroma). May Contain Titanium Dioxide (CI 77891)', 'Iron Oxides (CI 77491', 'Ci 77492)', 'Blue I Lake (CI 42090)', 'Red 7 Lake (CI 15850)', 'CI 45380 (Red 22 Lake)', 'CI 45410 (Red 28 Lake).']"
P503754,Skin-Enhancing Tinted Moisturizer,7103,Ami Colé,6596,4.8966,58.0,1 oz / 30 ml,Color,Rich 2,for rich skin with yellow undertones,"['Water/Aqua/Eau, Isohexadecane, Dimethicone, Isopropyl Isostearate, Isopropyl Myristate, C18-36 Acid Triglyceride, Glycerin, Propanediol, Cucurbita Pepo Seed Extract, Magnesium Sulfate, PEG-30 Dipolyhydroxystearate, Dimethicone Crosspolymer, Adansonia Digitata Fruit Extract, Hibiscus Sabdariffa Flower Extract, Hydrogenated Lecithin, Phyllanthus Emblica Fruit Extract, Tocopherol, Maltodextrin, Ethylhexylglycerin, Sodium Benzoate, Sodium Chloride, Phenoxyethanol. May Contain: Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499).']",32.0,,,False,False,False,False,True,"['Vegan', 'Natural Finish', 'Clean at Sephora', 'Medium Coverage', 'Black Owned at Sephora', 'Cruelty-Free']",Makeup,Face,Tinted Moisturizer,5,32.0,32.0,"['Water', 'Isohexadecane', 'Dimethicone', 'Isopropyl Isostearate', 'Isopropyl Myristate', 'C18-36 Acid Triglyceride', 'Glycerin', 'Propanediol', 'Cucurbita Pepo Seed Extract', 'Magnesium Sulfate', 'PEG-30 Dipolyhydroxystearate', 'Dimethicone Crosspolymer', 'Adansonia Digitata Fruit Extract', 'Hibiscus Sabdariffa Flower Extract', 'Hydrogenated Lecithin', 'Phyllanthus Emblica Fruit Extract', 'Tocopherol', 'Maltodextrin', 'Ethylhexylglycerin', 'Sodium Benzoate', 'Sodium Chloride', 'Phenoxyethanol. May Contain Titanium Dioxide (CI 77891)', 'Iron Oxides (CI 77491', 'CI 77492', 'CI 77499).']"
P503762,Lash-Amplifying Volumizing & Lengthening Mascara,7103,Ami Colé,5015,4.1842,38.0,0.3 oz / 9 ml,Color,Rich Black,,"['Water/Aqua/Eau, Synthetic Beeswax, Glyceryl Stearate, Jojoba Esters, Glycerin,', 'Copernicia Cerifera (Carnauba) Wax/Cera Carnauba/Cire De Carnauba, Stearic Acid,', 'Palmitic Acid, Polyacrylate-21, Butyrospermum Parkii Butter, Caprylyl Glycol, Acacia', 'Senegal Gum, Propanediol, Butylene Glycol, Caprylhydroxamic Acid, Dipropylene Glycol,', 'Disodium Phosphate, Glyceryl Caprylate, Hydroxyethylcellulose, Polysorbate 20, Sodium', 'Hydroxide, Sodium Phosphate, Tocopherol, Trideceth-6 Phosphate, Potassium Sorbate,', 'Iron Oxides (CI 77499).']",19.0,,,False,False,False,False,True,"['Vegan', 'allure 2022 Best of Beauty Award Winner', 'Clean at Sephora', 'Black Owned at Sephora', 'Cruelty-Free']",Makeup,Eye,Mascara,0,,,"['Water', 'Synthetic Beeswax', 'Glyceryl Stearate', 'Jojoba Esters', 'Glycerin,', 'Copernicia Cerifera (Carnauba) WaxCera CarnaubaCire De Carnauba', 'Stearic Acid,', 'Palmitic Acid', 'Polyacrylate-21', 'Butyrospermum Parkii Butter', 'Caprylyl Glycol', 'Acacia', 'Senegal Gum', 'Propanediol', 'Butylene Glycol', 'Caprylhydroxamic Acid', 'Dipropylene Glycol,', 'Disodium Phosphate', 'Glyceryl Caprylate', 'Hydroxyethylcellulose', 'Polysorbate 20', 'Sodium', 'Hydroxide', 'Sodium Phosphate', 'Tocopherol', 'Trideceth-6 Phosphate', 'Potassium Sorbate,', 'Iron Oxides (CI 77499).']"
P503732,Skin Melt Talc-Free Loose Setting Powder,7103,Ami Colé,4978,4.5714,21.0,0. 29 oz / 8.6 g,Color,Rich / Deep,for rich to deep skin tones,"['Synthetic Fluorphlogopite, Silica, Lauroyl Lysine, Caprylic/Capric Triglyceride, Squalane, Adansonia Digitata Fruit Extract, Hibiscus Sabdariffa Flower Extract, Sodium Hyaluronate, Glycerin, Pentylene Glycol, Glyceryl Caprylate, Hectorite, Dehydroacetic Acid, Glyceryl Undecylenate, Amethyst Powder, Quartz, Aqua (Water). May Contain (+/-) CI 77491 (Iron Oxides), CI 77499 (Iron Oxides), CI 77492 (Iron Oxides).']",22.0,,,False,False,True,False,True,"['Vegan', 'Loose Powder Formula', 'Clean at Sephora', 'Matte Finish', 'Black Owned at Sephora', 'Cruelty-Free']",Makeup,Face,Setting Spray & Powder,2,22.0,22.0,"['Synthetic Fluorphlogopite', 'Silica', 'Lauroyl Lysine', 'CaprylicCapric Triglyceride', 'Squalane', 'Adansonia Digitata Fruit Extract', 'Hibiscus Sabdariffa Flower Extract', 'Sodium Hyaluronate', 'Glycerin', 'Pentylene Glycol', 'Glyceryl Caprylate', 'Hectorite', 'Dehydroacetic Acid', 'Glyceryl Undecylenate', 'Amethyst Powder', 'Quartz', 'Water. May Contain (-) CI 77491 (Iron Oxides)', 'CI 77499 (Iron Oxides)', 'CI 77492 (Iron Oxides).']"
P503767,Skin-Enhancing Concealer,7103,Ami Colé,3551,4.6429,14.0,0.2 oz / 6 ml,Color,Rich 2.5,for rich skin with red undertones,"['Aqua (Water), Hydrogenated Lecithin, Isohexadecane, Isopropyl Myristate, Dimethicone, Dimethicone Crosspolymer, C18-36 Acid Glycol Ester, Glycerin, Propanediol, Adansonia Digitata Fruit Extract (Baobab Seed Extract), Hibiscus Sabdariffa Flower Extract, Cucurbita Pepo Seed Extract (Cucurbita Pepo (Pumpkin) Seed Extract), PEG-30 Dipolyhydroxystearate, Magnesium Sulfate, Citric Acid, Saccharide Isomerate, Sodium Citrate, Tocopheryl Acetate (Vitamin E), Silica, Phenoxyethanol, Ethylhexylglycerin, Caesalpinia Spinosa Fruit Extract, Kappaphycus Alvarezii Extract. May Contain (+/-) CI 77492 (Iron Oxides), CI 77491 (Iron Oxides), CI 77499 (Iron Oxides), CI 77499 (Iron Oxides).']",24.0,,,False,False,False,False,True,"['Vegan', 'Good for: Dark Circles', 'Clean at Sephora', 'Medium Coverage', 'Good for: Dark spots', 'Black Owned at Sephora']",Makeup,Face,Concealer,11,24.0,24.0,"['Water', 'Hydrogenated Lecithin', 'Isohexadecane', 'Isopropyl Myristate', 'Dimethicone', 'Dimethicone Crosspolymer', 'C18-36 Acid Glycol Ester', 'Glycerin', 'Propanediol', 'Adansonia Digitata Fruit Extract (Baobab Seed Extract)', 'Hibiscus Sabdariffa Flower Extract', 'Cucurbita Pepo Seed Extract (Cucurbita Pepo (Pumpkin) Seed Extract)', 'PEG-30 Dipolyhydroxystearate', 'Magnesium Sulfate', 'Citric Acid', 'Saccharide Isomerate', 'Sodium Citrate', 'Tocopheryl Acetate (Vitamin E)', 'Silica', 'Phenoxyethanol', 'Ethylhexylglycerin', 'Caesalpinia Spinosa Fruit Extract', 'Kappaphycus Alvarezii Extract. May Contain (-) CI 77492 (Iron Oxides)', 'CI 77491 (Iron Oxides)', 'CI 77499 (Iron Oxides)', 'CI 77499 (Iron Oxides).']"
P503759,Ultra-Flex Clear Eyebrow Shaping Gel,7103,Ami Colé,2885,4.8889,9.0,0.18 oz / 5 ml,Color,Clear,,"['Water, VP/VA Copolymer, Alcohol Denat., Butylene Glycol, 1,2-Hexanediol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Tromethamine, Musa Sapientum (Banana) Fruit Extract, Hibiscus Sabdariffa Flower Extract, Adansonia Digitata Seed Extract.']",20.0,,,False,False,True,False,True,"['Vegan', 'Clean at Sephora', 'Fragrance Free', 'Black Owned at Sephora', 'Cruelty-Free']",Makeup,Eye,Eyebrow,0,,,"['Water', 'VPVA Copolymer', 'Alcohol Denat.', 'Butylene Glycol', '1,2-Hexanediol', 'AcrylatesC10-30 Alkyl Acrylate Crosspolymer', 'Tromethamine', 'Musa Sapientum (Banana) Fruit Extract', 'Hibiscus Sabdariffa Flower Extract', 'Adansonia Digitata Seed Extract.']"
P504779,Desert Date Cream Blush & Lip Multistick,7103,Ami Colé,2858,5.0,4.0,0.19 oz / 5.5 g,Color,Hibiscus,berry,"['Octyldodecanol, Dicaprylyl Ether, Caprylic/Capric Triglyceride, Trihydroxystearin, Euphorbia Cerifera (Candelilla) Wax/Candelilla Cera/Cire De Candelilla, C10-18 Triglycerides, Microcrystalline Cellulose, Dilinoleic Acid/Propanediol Copolymer, Silica, Mica, Polyhydroxystearic Acid, Balanites Aegyptiaca Kernel Oil (Desert Date Oil), Adansonia Digitata Seed Oil, Hibiscus Sabdariffa Seed Oil, Tin Oxide, Tocopherol, Glycine Soja Oil, Benzyl Alcohol. May Contain/Peut Contenir: Titanium Dioxide (CI 7781), Iron Oxides (CI 77491, CI 77492, CI 77499), Red 6 Lake (CI 15850).']",22.0,,,False,True,False,False,True,"['Natural Finish', 'Cream Formula', 'Clean at Sephora', 'Fragrance Free', 'Black Owned at Sephora', 'Cruelty-Free']",Makeup,Cheek,Blush,3,22.0,22.0,"['Octyldodecanol', 'Dicaprylyl Ether', 'CaprylicCapric Triglyceride', 'Trihydroxystearin', 'Euphorbia Cerifera (Candelilla) WaxCandelilla CeraCire De Candelilla', 'C10-18 Triglycerides', 'Microcrystalline Cellulose', 'Dilinoleic AcidPropanediol Copolymer', 'Silica', 'Mica', 'Polyhydroxystearic Acid', 'Balanites Aegyptiaca Kernel Oil (Desert Date Oil)', 'Adansonia Digitata Seed Oil', 'Hibiscus Sabdariffa Seed Oil', 'Tin Oxide', 'Tocopherol', 'Glycine Soja Oil', 'Benzyl Alcohol. May ContainPeut Contenir Titanium Dioxide (CI 7781)', 'Iron Oxides (CI 77491', 'CI 77492', 'CI 77499)', 'Red 6 Lake (CI 15850).']"
P503731,"The Customizable Crew Set: Highlighter, Lip Oil, and Skin Tint Set",7103,Ami Colé,1164,4.5,2.0,,,,,"['Skin-Enhancing Tint:', 'Water/Aqua/Eau, Isohexadecane, Dimethicone, Isopropyl Isostearate, Isopropyl Myristate, C18-36 Acid Triglyceride, Glycerin, Propanediol, Cucurbita Pepo Seed Extract, Magnesium Sulfate, Peg-30 Dipolyhydroxystearate, Dimethicone Crosspolymer, Adansonia Digitata Fruit Extract, Hibiscus Sabdariffa Flower Extract, Hydrogenated Lecithin,Phyllanthus Emblica Fruit Extract, Tocopherol, Maltodextrin, Ethylhexylglycerin, Sodium Benzoate, Sodium Chloride, Phenoxyethanol. May Contain: Titanium Dioxide (Ci 77891), Iron Oxides (Ci 77491, Ci 77492, Ci 77499).', 'Light-Catching Highlighter:', 'Diisostearyl Malate, Octyldodecanol, Octyldodecyl Neopentanoate, Polybutene, Tridecyl Trimellitate, Hydrogenated Polyisobutene, Dibutyl Lauroyl Glutamide, Dibutyl Ethylhexanoyl Glutamide, Silica Dimethyl Silylate, Adansonia Digitata Seed Oil, Calcium Sodium Borosilicate, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Tin Oxide, Tocopherol, Titanium Dioxide (Ci 77891).', 'Lip Treatment Oil:', 'Triisostearoyl Polyglyceryl-3 Dimer Dilinoleate, Polybutene, Diisostearyl Malate, Octyldodecanol, Polyglyceryl-2 Triisostearate, Vp/Hexadecene Copolymer, Silica Dimethyl Silylate, Adansonia Digitata Seed Oil, Camellia Japonica Seed Oil, Passiflora Incarnata Seed Oil, Pentaclethra Macroloba Seed Oil, Tocopherol, Hexadecene, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Flavor (Aroma). May Contain: Titanium Dioxide (Ci 77891), Iron Oxides (Ci 77491, Ci 77492), Blue I Lake (Ci 42090), Red 7 Lake (Ci 15850), Ci 45380 (Red 22 Lake), Ci 45410 (Red 28 Lake).']",60.0,84.0,,False,False,True,False,True,"['Vegan', 'Clean at Sephora', 'Customizable', 'Black Owned at Sephora', 'Cruelty-Free']",Makeup,Face,Face Sets,0,,,"['Skin-Enhancing Tint', 'Water', 'Isohexadecane', 'Dimethicone', 'Isopropyl Isostearate', 'Isopropyl Myristate', 'C18-36 Acid Triglyceride', 'Glycerin', 'Propanediol', 'Cucurbita Pepo Seed Extract', 'Magnesium Sulfate', 'Peg-30 Dipolyhydroxystearate', 'Dimethicone Crosspolymer', 'Adansonia Digitata Fruit Extract', 'Hibiscus Sabdariffa Flower Extract', 'Hydrogenated Lecithin,Phyllanthus Emblica Fruit Extract', 'Tocopherol', 'Maltodextrin', 'Ethylhexylglycerin', 'Sodium Benzoate', 'Sodium Chloride', 'Phenoxyethanol. May Contain Titanium Dioxide (Ci 77891)', 'Iron Oxides (Ci 77491', 'Ci 77492', 'Ci 77499).', 'Light-Catching Highlighter', 'Diisostearyl Malate', 'Octyldodecanol', 'Octyldodecyl Neopentanoate', 'Polybutene', 'Tridecyl Trimellitate', 'Hydrogenated Polyisobutene', 'Dibutyl Lauroyl Glutamide', 'Dibutyl Ethylhexanoyl Glutamide', 'Silica Dimethyl Silylate', 'Adansonia Digitata Seed Oil', 'Calcium Sodium Borosilicate', 'Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate', 'Tin Oxide', 'Tocopherol', 'Titanium Dioxide (Ci 77891).', 'Lip Treatment Oil', 'Triisostearoyl Polyglyceryl-3 Dimer Dilinoleate', 'Polybutene', 'Diisostearyl Malate', 'Octyldodecanol', 'Polyglyceryl-2 Triisostearate', 'VpHexadecene Copolymer', 'Silica Dimethyl Silylate', 'Adansonia Digitata Seed Oil', 'Camellia Japonica Seed Oil', 'Passiflora Incarnata Seed Oil', 'Pentaclethra Macroloba Seed Oil', 'Tocopherol', 'Hexadecene', 'Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate', 'Flavor (Aroma). May Contain Titanium Dioxide (Ci 77891)', 'Iron Oxides (Ci 77491', 'Ci 77492)', 'Blue I Lake (Ci 42090)', 'Red 7 Lake (Ci 15850)', 'Ci 45380 (Red 22 Lake)', 'Ci 45410 (Red 28 Lake).']"
